mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing,source,geometry,eez_name,inside_indonesia_eez,distance_to_lane_km,inside_shipping_lane,nearest_port,distance_to_port_km,protected_name,protected_category,protected_no_take,distance_to_protected_km,inside_protected_area,bathymetry_m,year,month,day,hour,minute,day_of_week,is_weekend,time_gap_second,previous_speed,previous_course,acceleration,course_change,distance_previous_km,is_stop,trip_id,speed_change,acceleration_abs,turning_rate,heading_sin,heading_cos,hour_sin,hour_cos,month_sin,month_cos,movement_state,log_distance_port,log_distance_shore,depth_abs,historical_points,trip_length,gps_gap,missing_course,anomaly_score,embedding_norm
87919276942456,2016-10-03 00:33:43,-0.6617833323909948,-0.7463537323333495,-0.943389119308986,0.44247410702081696,-8.743657,115.21225,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\x00\x00\x00\x80\x95\xcd\\@\xff\xff\xff\x9f\xc0|!\xc0',,False,-0.5727931815711869,True,BENOA,-0.7393358961435768,Ngurah Rai,VI,Part,-0.757876185559864,False,0.650115486960923,2016,10,3,0,33,0,0,29.0,0.0,96.4,-0.004904776472312219,153.9,9.49353e-05,1,7,0.9206567490909591,-0.03431626446484457,9.98723085081264,0.007722553260889982,0.9999701806409693,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,-1.0258157009586362,-0.83957087531293,-0.3988811148840425,-0.22613320381479235,-0.0969696394050265,-0.4380937750433577,0,4.5941296,8.2307
165172979135964,2016-11-06 00:10:40,-0.6181662195912317,-0.7210385344473217,-0.943389119308986,1.2091972345920987,3.235,117.56834,-1,false_positives,b'\x01\x01\x00\x00\x00\xff\xff\xff\x9f_d]@\x00\x00\x00\xa0G\xe1\t@',Indonesian Exclusive Economic Zone,True,-0.5356088215768279,False,LINGKAS,-0.7188804486804847,Pulau Maratua-Karang Muaras,VI,Not Reported,-0.131123786704718,False,0.6453436750336483,2016,11,6,0,10,6,1,77495.0,16.1,23.5,-0.007828736387386286,46.5,119.26532,1,148,-2.7636136473011548,-0.0313900560325281,-0.10753443790750537,0.02110290643343027,0.9997773088743622,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,-0.9412669845663099,-0.6930224352372261,-0.4081171907147606,1.4350130946115454,-0.9164894452181693,2.2826163186204402,0,4.5877023,15.556535
165172979135964,2016-11-04 23:49:37,-0.6393425130114371,-0.6336260163445492,1.8960557054560305,-0.6037006510438649,4.056667,117.776665,-1,false_positives,b'\x01\x01\x00\x00\x00\x00\x00\x00\xe0\xb4q]@\xff\xff\xff\xdf\x06:\x10@',Indonesian Exclusive Economic Zone,True,-0.34905411660397484,False,TANJUNG ARANG  (BUNYU),-0.49978819883190023,Kayan Mentarang,II,Not Applicable,-0.014490302285127888,False,0.6448134737083956,2016,11,4,23,49,4,0,292394.0,0.0,133.0,-0.0041827684991554105,1.0,1.5280024,0,147,1.57042583369986,-0.035038827660174035,-0.10870858071378539,-0.010536369098110317,0.9999444909224854,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384,1,-0.2963562891438292,-0.7619561313238958,-0.4091434213626181,1.4350130946115454,-0.9234227769086358,2.2826163186204402,0,4.5303187,21.077059
165172979135964,2015-04-20 02:24:56,-0.654303058960095,-0.7169296046967208,2.5964522399863665,-1.6737525737850925,1.0518984,104.147514,-1,false_positives,b'\x01\x01\x00\x00\x00\x00\x00\x00\xe0p\tZ@\x01\x00\x00`\x93\xd4\xf0?',Indonesian Exclusive Economic Zone,True,-0.5594688608200097,True,TANJUNGUBAN,-0.7136230884122224,Pulau Rempang,VI,Part,-0.7144035692813291,False,0.6490550843104176,2015,4,20,2,24,0,0,405035.0,1.4,196.1,-0.004303640440177384,174.9,24.000225,0,7,1.4103309151823444,-0.034917862768957315,-0.10786549355005597,-0.02920833861047713,0.9995733454607599,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,1,-0.9205305326779262,-0.8131413891904231,-0.4009335761797575,1.4350130946115454,-0.0969696394050265,2.2826163186204402,0,4.521292,13.341444
33266086194351,2013-07-13 22:55:56,-0.6617833323909948,-0.6054931046373264,-0.943389119308986,-1.7710300213070223,5.844,125.202,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\xfe\xff\xff\x9f\xedL_@\x00\x00\x00\x80A`\x17@',,False,0.1758308086469084,False,TAHUNA,0.17805214990982052,Karakelang,IV,Not Applicable,0.2241230638555198,False,0.6124711928679776,2013,7,13,22,55,5,1,125534.0,12.3,358.0,-0.00628377223369147,2.0,377.11057,1,42,-1.8940342760408666,-0.03293620825946584,-0.10868395726935588,-0.03090538306580162,0.9995223145570868,-0.5000000000000004,0.8660254037844384,-0.4999999999999997,-0.8660254037844388,0,0.6622900795144805,-0.83957087531293,-0.4717434908819308,-1.649264510227804,-0.7653428143659992,2.2826163186204402,0,4.4866924,22.490423
165172979135964,2016-04-20 20:29:04,-0.6617833323909948,-0.744413022333838,-0.9244594868618123,-0.27826334507348083,-7.9716635,131.28511,-1,false_positives,b'\x01\x01\x00\x00\x00\x00\x00\x00\xa0\x1fi`@\x01\x00\x00\xc0\xfb\xe2\x1f\xc0',Indonesian Exclusive Economic Zone,True,-0.5390405864686681,False,SAUMLAKI,-0.7347599550116882,Pulau Angwarmase,Ia,Part,-0.6718149486728097,False,0.645873876358901,2016,4,20,20,29,2,0,9216.0,15.3,59.9,-0.028117191292000545,108.9,13.476047,1,107,-2.5762124775629975,-0.01108599936113189,-0.08546290084835163,-0.004856592467280814,0.9999882066852622,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,-1.0063395901800072,-0.83957087531293,-0.4070909600669031,1.4350130946115454,-0.8866761189491633,2.2826163186204402,0,4.483486,17.799318
165172979135964,2015-12-07 03:00:44,-0.5659890898465868,-0.46894728134022684,2.0853520271070316,1.1826670216315724,-0.38833332,105.10167,-1,false_positives,b'\x01\x01\x00\x00\x00\x00\x00\x00\xc0\x81FZ@\x00\x00\x00\x00t\xda\xd8\xbf',Indonesian Exclusive Economic Zone,True,-0.48555061183365494,False,DABO,-0.5191799102204832,Berbak,Not Reported,Not Applicable,-0.2573258731426012,False,0.626786628649802,2015,12,7,3,0,0,0,30058.0,0.0,266.0,0.0025869016882888443,68.0,142.23766,0,75,1.6137437726737869,-0.03663592168828879,-0.10426321986036903,0.020639967735067943,0.9997869731757337,0.7071067811865476,0.7071067811865476,-2.4492935982947064e-16,1.0,1,-0.34060565279193744,-0.5382758635160212,-0.444035263389776,1.4350130946115454,-0.935209440782429,2.2826163186204402,0,4.421688,20.511616
165172979135964,2015-09-02 10:01:54,-0.6617833323909948,-0.744413022333838,-0.9244594868618123,-1.0662107239769685,1.5075933,124.84005,-1,false_positives,b'\x01\x01\x00\x00\x00\x00\x00\x00`\xc35_@\xff\xff\xff\x1f\x1a\x1f\xf8?',Indonesian Exclusive Economic Zone,True,-0.4973711596535977,False,MANADO,-0.7383760646321711,Bunaken,II,Part,-0.7514555748933601,False,0.639511460455868,2015,9,2,10,1,2,0,1942.0,16.3,134.2,-0.12230933379783474,54.5,3.5523353,1,48,-2.805048924488705,0.08317857664675937,-0.05351349302850147,-0.018607813657945425,0.9998268596466446,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0,-1.0217022828431275,-0.83957087531293,-0.41940572784119395,1.4350130946115454,-0.6155828498519224,-0.4380937750433577,0,4.4007397,14.25307
165172979135964,2015-11-21 02:15:57,-0.5771537010984074,-0.6701584018535345,-0.943389119308986,1.315318086434204,-0.25833333,117.566666,-1,false_positives,b'\x01\x01\x00\x00\x00\xfe\xff\xff?Dd]@\xff\xff\xff\x7f\x88\x88\xd0\xbf',Indonesian Exclusive Economic Zone,True,-0.5483108778163919,True,TANJUNG SANTAN,-0.6763983400179814,Kutai,II,Not Applicable,-0.5724195603799243,False,0.6363302525043515,2015,11,21,2,15,5,1,33799.0,13.3,223.9,-0.010442955403049759,125.100006,65.69405,1,69,-2.122870941202224,-0.02877382668953359,-0.10143130475257847,0.022954614988506584,0.999736508111377,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0,-0.7837656354959796,-0.5697616758342544,-0.42556311172833955,1.4350130946115454,-0.9296627754300557,2.2826163186204402,0,4.387752,17.750296
165172979135964,2015-06-27 03:45:22,-0.6243819643233539,-0.6655405247012992,1.1956593514527345,-1.2112425345868993,-1.2814567,116.98613,-1,false_positives,b'\x01\x01\x00\x00\x00\xff\xff\xff\xbf\x1c?]@\xff\xff\xff\xbf\xd8\x80\xf4\xbf',Indonesian Exclusive Economic Zone,True,-0.557765192052466,True,BALIKPAPAN,-0.6720851802609527,Bukit Soeharto,VI,Not Applicable,-0.6640769920632366,False,0.6421624670821318,2015,6,27,3,45,5,1,42179.0,0.2,349.6,-0.001200990295828981,73.69998,4.436048,0,28,1.3643821340443145,-0.03802289884284968,-0.10527664146213397,-0.021138595689623448,0.9997765549222839,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,1,-0.7689474875083246,-0.7128515387901311,-0.41427457460190614,1.4350130946115454,-0.9220361105705426,2.2826163186204402,0,4.3856792,26.496014
