model,mean_score,std_score,max_score,top100_unique_mmsi,top100_unique_trip,top100_inside_eez,top100_shipping_lane,top100_protected
GCN,0.13406649231910706,8.680712699890137,1461.474365234375,11,43,30,38,0
GAT,0.11103225499391556,5.929810047149658,955.9856567382812,9,42,30,44,0
GraphSAGE,0.009796048514544964,0.036357492208480835,3.99809193611145,48,37,22,17,1
HetGAT,0.16694329679012299,7.5717926025390625,1283.4473876953125,12,43,45,41,0
