model,loss,mean_score,std_score,min_score,max_score
GCN,0.13406649231910706,0.13406649231910706,8.680712699890137,0.0004599938984028995,1461.474365234375
GAT,0.11103225499391556,0.11103225499391556,5.929810047149658,0.0002658636949490756,955.9856567382812
GraphSAGE,0.009796048514544964,0.009796048514544964,0.036357492208480835,0.00028092280263081193,3.99809193611145
HetGAT,0.2465924173593521,0.16694329679012299,7.5717926025390625,0.0032458158675581217,1283.4473876953125
